sample_id,true_class,pred_class,correct,confidence,shap_instability,jaccard_sl,xcs,flag_review
0,Synthetic,Benign,N/A,0.999323,0.293681,0.111111,0.644958,False
1,Synthetic,Benign,N/A,0.999323,0.185956,0.25,0.718942,False
2,Synthetic,Benign,N/A,0.998993,0.167065,0.0,0.649477,False
3,Synthetic,Benign,N/A,0.998993,0.195754,0.111111,0.674204,False
4,Synthetic,Benign,N/A,0.999323,0.280218,0.111111,0.648997,False
5,Synthetic,Benign,N/A,0.999323,0.179786,0.0,0.645793,False
6,Synthetic,Benign,N/A,0.999323,0.193478,0.111111,0.675019,False
7,Synthetic,Benign,N/A,0.999323,0.271545,0.428571,0.746837,False
8,Synthetic,Benign,N/A,0.998993,0.239112,0.111111,0.661197,False
9,Synthetic,Benign,N/A,0.999323,0.212876,0.111111,0.6692,False
10,Synthetic,Benign,N/A,0.999323,0.158685,0.111111,0.685457,False
11,Synthetic,Benign,N/A,0.999323,0.287278,0.25,0.688546,False
12,Synthetic,Benign,N/A,0.999323,0.269637,0.111111,0.652171,False
13,Synthetic,Benign,N/A,0.999323,0.183321,0.0,0.644733,False
14,Synthetic,Benign,N/A,0.99927,0.154605,0.428571,0.781898,False
15,Synthetic,Benign,N/A,0.999323,0.323224,0.25,0.677762,False
16,Synthetic,Benign,N/A,0.999323,0.238936,0.25,0.703048,False
17,Synthetic,Benign,N/A,0.999323,0.144896,0.111111,0.689593,False
18,Synthetic,Benign,N/A,0.999323,0.189095,0.25,0.718,False
19,Synthetic,Benign,N/A,0.998993,0.318256,0.111111,0.637454,False
20,Synthetic,Benign,N/A,0.999323,0.286867,0.111111,0.647002,False
21,Synthetic,Benign,N/A,0.999323,0.31208,0.111111,0.639438,False
22,Synthetic,Benign,N/A,0.999323,0.329526,0.111111,0.634204,False
23,Synthetic,Benign,N/A,0.999323,0.298108,0.25,0.685297,False
24,Synthetic,Benign,N/A,0.999323,0.250976,0.25,0.699436,False
25,Synthetic,Benign,N/A,0.999323,0.195876,0.25,0.715966,False
26,Synthetic,Benign,N/A,0.999323,0.258655,0.111111,0.655466,False
27,Synthetic,Benign,N/A,0.999323,0.249871,0.111111,0.658101,False
28,Synthetic,Benign,N/A,0.999323,0.256303,0.0,0.622838,False
29,Synthetic,Benign,N/A,0.999323,0.165772,0.111111,0.683331,False
30,Synthetic,Benign,N/A,0.999323,0.126221,0.25,0.736863,False
31,Synthetic,Benign,N/A,0.999323,0.251607,0.111111,0.65758,False
32,Synthetic,Benign,N/A,0.999323,0.231905,0.111111,0.663491,False
33,Synthetic,Benign,N/A,0.998993,0.267245,0.25,0.694423,False
34,Synthetic,Benign,N/A,0.999323,0.224993,0.111111,0.665564,False
35,Synthetic,Benign,N/A,0.998993,0.291459,0.0,0.612159,False
36,Synthetic,Benign,N/A,0.999323,0.165064,0.25,0.72521,False
37,Synthetic,Benign,N/A,0.999323,0.146007,0.0,0.655927,False
